osm_id,name,building,building:levels,height,addr:housenumber,addr:street,addr:postcode,amenity,shop,tourism,historic,start_date,wikidata
"way/970599861","","yes","","","","","","","","","","",""
"way/970599862","","yes","","","","","","","","","","",""
"way/970599863","","yes","","","","","","","","","","",""
"way/970601209","","yes","","","","","","","","","","",""
"way/970602058","","yes","","","","","","","","","","",""
"way/970602059","","yes","","","","","","","","","","",""
"way/975479605","","yes","","","","","","","","","","",""
"way/976497595","","yes","","","","","","","","","","",""
"way/976497596","","yes","","","","","","","","","","",""
"way/976497597","","yes","","","","","","","","","","",""
"way/976497598","","yes","","","","","","","","","","",""
"way/977361724","","yes","","","","","","","","","","",""
"way/979941520","","roof","","","","","","","","","","",""
"way/981882816","","roof","","","","","","","","","","",""
"way/987873926","Supreme Body Shop Historic Site","no","","","326","South Guadalupe Street","","","","","building","",""
"way/991022581","","yes","","","","","","","","","","",""
"way/991022582","","yes","","","","","","","","","","",""
"way/991022583","","yes","","","","","","","","","","",""
"way/991022584","","yes","","","","","","","","","","",""
"way/991022597","","yes","","","","","","","","","","",""
"way/991022599","","yes","","","","","","","","","","",""
"way/991022600","","yes","","","","","","","","","","",""
"way/991022602","","yes","","","","","","","","","","",""
"way/991022603","","yes","","","","","","","","","","",""
"way/991022604","","yes","","","","","","","","","","",""
"way/991022605","","yes","","","","","","","","","","",""
"way/991022606","","yes","","","","","","","","","","",""
"way/993054556","","house","","","","","","","","","","",""
"way/993054557","","house","","","","","","","","","","",""
"way/993054558","","house","","","","","","","","","","",""
"way/993054559","","house","","","","","","","","","","",""
"way/993054560","","house","","","","","","","","","","",""
"way/993054561","","house","","","","","","","","","","",""
"way/993054562","","house","","","","","","","","","","",""
"way/993054563","","house","","","","","","","","","","",""
"way/993054564","","house","","","","","","","","","","",""
"way/993054565","","house","","","","","","","","","","",""
"way/993061258","","yes","","","","","","","","","","",""
"way/993071429","","yes","","","","","","","","","","",""
"way/993071430","","yes","","","","","","","","","","",""
"way/993071431","","yes","","","","","","","","","","",""
"way/993071435","","yes","","","","","","","","","","",""
"way/993071436","","yes","","","","","","","","","","",""
"way/993071437","","yes","","","","","","","","","","",""
"way/993071451","","yes","","","","","","","","","","",""
"way/993071452","","yes","","","","","","","","","","",""
"way/993071453","","yes","","","","","","","","","","",""
"way/993071454","","yes","","","","","","","","","","",""
"way/993071476","","yes","","","","","","","","","","",""
"way/993080684","","yes","","","","","","","","","","",""
"way/993080685","","yes","","","","","","","","","","",""
"way/993080686","","yes","","","","","","","","","","",""
"way/993342707","","yes","","","","","","","","","","",""
